,ID,DueDate,Type,Points,Submitted,Class,Title,url,UserOverride
14455641,14455641,1678311000000,T,5.0,False,,Participation #17 - Romantic instrumental music,/courses/2124225/assignments/14455641,
14455509,14455509,1678316400000,T,10.0,True,Music for the Listener,"Chapter 43 Tutorial: LG 33 Hector Berlioz: Symphonie fantastique, IV",/courses/2124225/assignments/14455509/submissions/6677198,
14455510,14455510,1678316400000,T,10.0,True,Music for the Listener,"Chapter 43 Tutorial: LG 33 Hector Berlioz: Symphonie fantastique, V",/courses/2124225/assignments/14455510/submissions/6677198,
14455512,14455512,1678316400000,T,10.0,True,Music for the Listener,Chapter 44 Tutorial: LG 34 Felix Mendelssohn: Overture to A Midsummer Night's Dream,/courses/2124225/assignments/14455512/submissions/6677198,
14455513,14455513,1678316400000,T,10.0,True,Music for the Listener,"Chapter 44 Tutorial: LG 35 Grieg: In the Hall of the Mountain King from Peer Gynt, Suite No. 1 (Op. 46)",/courses/2124225/assignments/14455513/submissions/6677198,
14455514,14455514,1678316400000,T,10.0,True,Music for the Listener,"Chapter 44 Tutorial: LG 35 Grieg: Morning Mood from Peer Gynt, Suite No. 1 (Op. 46)",/courses/2124225/assignments/14455514/submissions/6677198,
12405971,12405971,1678355940000,T,2.0,True,Yoga,Week 9 | Reading Discussion,/courses/2143487/assignments/14506248/submissions/6677198,
10448846,10448846,1678528799000,A,,,Yoga,Week 9 - Yoga Practice,/courses/2143487/pages/week-9-yoga-practice,
3837524,3837524,1678694399000,T,1.0,False,Yoga,Week 9 | Wellness Journal ,/courses/2143487/quizzes/3837524,
14455642,14455642,1679340600000,T,5.0,False,Music for the Listener,Participation #18 - Nationalism,/courses/2124225/assignments/14455642,
12384250,12384250,1679385540000,T,20.0,False,Music for the Listener,Berlioz and the Narrative Symphony (Review),/courses/2124225/discussion_topics/12384250,
14455656,14455656,1679512500000,T,5.0,False,Music for the Listener,Participation #19,/courses/2124225/assignments/14455656,
14455518,14455518,1679518800000,T,10.0,False,Music for the Listener,"Chapter 46 Tutorial: LG 37 Giuseppi Verdi: Rigoletto, Act III, excerpts",/courses/2124225/assignments/14455518,
14455530,14455530,1679518800000,T,10.0,False,Music for the Listener,"Chapter 50 Tutorial: LG 41 Puccini: Madame Butterfly, ""Un bel dì""",/courses/2124225/assignments/14455530,
12405979,12405979,1679558399000,T,2.0,False,Yoga,Week 10 | Reading Discussion,/courses/2143487/discussion_topics/12405979,
10448832,10448832,1679731140000,A,,,Yoga,Week 10- Yoga Practice,/courses/2143487/pages/week-10-yoga-practice,
980638,980638,1678183140000,A,,,,Feedback #5 6:30 Class,/courses/2115470/assignments/14700000/submissions/6575859,
980639,980639,1678183140000,A,,,,Feedback #5 6:30 Class,/courses/2115470/assignments/14700000/submissions/6643803,
14700000,14700000,1678183140000,T,15.0,True,,Feedback #5 6:30 Class,/courses/2115470/assignments/14700000/submissions/6677198,
14694174,14694174,1678183199000,T,6.0,False,Econ,Packback Q & A 3,/courses/2118316/assignments/14694174,
14690219,14690219,1678269599000,T,150.0,False,Business Presentations,Dream Internship Value Speech,/courses/2115470/assignments/14690219,
14708187,14708187,1678314000000,T,1.0,True,Yoga,Sun Salutation Assignment ,/courses/2143487/assignments/14708187/submissions/6677198,
14708001,14708001,1678528799000,T,0.0,False,Econ,Top hat in-text questions,/courses/2118316/assignments/14708001,
14708361,14708361,1679558340000,T,15.0,True,Business Presentations,Feedback #6 pm Class ,/courses/2115470/assignments/14708361/submissions/6677198,
3837518,3837518,1679903999000,T,1.0,False,Yoga,Week 10 | Wellness Journal,/courses/2143487/quizzes/3837518,
14455646,14455646,1679945400000,T,5.0,False,Music for the Listener,Participation #20,/courses/2124225/assignments/14455646,
14455525,14455525,1679950800000,T,10.0,False,Music for the Listener,"Chapter 49 Tutorial: LG 40 Tchaikovsky: The Nutcracker, Dance of the Sugar Plum Fairy",/courses/2124225/assignments/14455525,
14455526,14455526,1679950800000,T,10.0,False,Music for the Listener,"Chapter 49 Tutorial: LG 40 Tchaikovsky: The Nutcracker, Trepak",/courses/2124225/assignments/14455526,
14455532,14455532,1679950800000,T,10.0,False,Music for the Listener,"Chapter 51 Tutorial: LG 42 Debussy: Prelude to ""The Afternoon of a Faun""",/courses/2124225/assignments/14455532,
14690231,14690231,1679990399000,T,200.0,False,Business Presentations,Global Mama Client Pitch Assignment,/courses/2115470/assignments/14690231,
12405980,12405980,1680163199000,T,2.0,False,Yoga,Week 11 | Reading Discussion,/courses/2143487/discussion_topics/12405980,
14561861,14561861,1680163199000,T,5.0,False,Music for the Listener,Participation #21,/courses/2124225/assignments/14561861,
12384248,12384248,1680335940000,T,20.0,False,Music for the Listener,"Nationalism: 19th, 20th, 21st centuries due on Friday",/courses/2124225/discussion_topics/12384248,
10448845,10448845,1680335999000,A,,,Yoga,Week 11 - Yoga Practice,/courses/2143487/pages/week-11-yoga-practice,
3837517,3837517,1680508740000,T,1.0,False,Yoga,Week 11 | Wellness Journal,/courses/2143487/quizzes/3837517,
14455647,14455647,1680550200000,T,5.0,False,Music for the Listener,Participation #22,/courses/2124225/assignments/14455647,
14455541,14455541,1680555600000,T,10.0,False,Music for the Listener,"Chapter 55 Tutorial: LG 46 Schoenberg: Pierrot lunaire, Part III, No. 18",/courses/2124225/assignments/14455541,
